kind;n;m;sum_n;AgeLatency;IterationCount;ExpansionVertex;ExpansionEdges;LowerBounds;UpperBounds;gen_time;sp_time
3;200;13266;5309;7205;5;"[202,3436,3784,4001,4109]";"[13268,238591,259647,272925,283432]";"[2998,7105,7205,7205,7205]";"[8366,7414,7330,7257,7205]";1642.00;2010.00
3;200;13266;5404;7805;7;"[202,2940,3500,3778,3886,3994,4013]";"[13268,214046,249602,265981,272896,279114,280509]";"[3257,7805,7805,7805,7805,7805,7805]";"[8805,8154,8015,7850,7822,7805,7805]";2403.00;2969.00
3;200;13266;5392;7414;4;"[202,3358,3849,3872]";"[13270,256983,277726,279023]";"[3002,7414,7414,7414]";"[8535,7705,7439,7414]";1181.00;1492.00
3;200;13266;5780;5973;7;"[202,3476,3953,4337,4478,4497,4546]";"[13269,262294,295524,321503,328699,329480,332087]";"[2828,5973,5973,5973,5973,5973,5973]";"[6820,6396,6161,6058,6008,5993,5973]";3053.00;3611.00
3;200;13266;5096;7448;4;"[202,3332,3815,3982]";"[13271,253105,281106,288654]";"[2800,7348,7448,7448]";"[8425,7767,7507,7448]";1191.00;1515.00
3;200;13266;5604;6199;6;"[202,3459,4090,4160,4190,4288]";"[13269,263662,294384,297050,298185,302103]";"[2749,6199,6199,6199,6199,6199]";"[7105,6518,6414,6319,6279,6199]";2317.00;2785.00
3;200;13266;5870;5388;6;"[202,3456,4125,4301,4535,4544]";"[13268,253601,295025,306785,317268,317783]";"[2674,5388,5388,5388,5388,5388]";"[6310,5811,5613,5495,5398,5388]";2447.00;2888.00
3;200;13266;4745;7569;6;"[202,2637,3248,3513,3536,3585]";"[13270,222562,263997,282938,284627,289047]";"[3261,7569,7569,7569,7569,7569]";"[8765,8021,7753,7659,7581,7569]";1978.00;2537.00
3;200;13266;5185;7203;5;"[202,2685,3413,3708,3898]";"[13269,207401,257078,280161,290406]";"[3502,7203,7203,7203,7203]";"[8186,7646,7395,7285,7203]";1525.00;1924.00
3;200;13266;5499;6501;8;"[202,2798,3233,3408,3708,3785,3853,3911]";"[13269,237618,268826,281752,298443,302667,306812,310229]";"[3102,6501,6501,6501,6501,6501,6501,6501]";"[7427,6734,6683,6635,6543,6533,6517,6501]";3100.00;3841.00
3;200;13266;4719;8301;8;"[202,2732,3453,3521,3544,3563,3576,3625]";"[13270,214299,257918,261301,262254,263598,264493,268411]";"[3700,8301,8301,8301,8301,8301,8301,8301]";"[9318,8625,8394,8356,8331,8331,8303,8301]";2705.00;3423.00
3;200;13266;5209;6752;5;"[202,3117,3561,3878,4194]";"[13270,247800,287703,309169,332926]";"[2652,6752,6752,6752,6752]";"[7528,6942,6859,6807,6752]";1761.00;2196.00
3;250;12450;7242;6901;8;"[252,2506,2823,3096,3192,3340,3439,3591]";"[12453,149780,172042,186784,192209,200682,207887,218307]";"[3025,6901,6901,6901,6901,6901,6901,6901]";"[7621,7077,7045,6995,6928,6926,6908,6901]";1811.00;2420.00
3;250;12450;6872;7206;6;"[252,2679,3470,3743,3905,4171]";"[12454,158974,196830,208941,218875,237773]";"[3122,7206,7206,7206,7206,7206]";"[8285,7613,7414,7325,7270,7206]";1430.00;1874.00
3;250;12450;6936;6305;9;"[252,2329,2921,3213,3365,3513,3583,3682,3687]";"[12458,146283,173841,195012,206875,213939,218902,227287,227574]";"[3500,6305,6305,6305,6305,6305,6305,6305,6305]";"[7175,6608,6521,6431,6386,6384,6362,6325,6305]";2282.00;2974.00
3;250;12450;6578;6619;8;"[252,2373,3044,3317,3379,3595,3717,3766]";"[12456,137176,168975,183940,187234,201991,211103,214363]";"[2902,6519,6619,6619,6619,6619,6619,6619]";"[7632,6928,6727,6693,6674,6662,6631,6619]";1813.00;2379.00
3;250;12450;6835;5627;9;"[252,2475,3006,3439,3705,3713,3771,3780,3880]";"[12456,149239,176416,197524,210897,211220,213207,213506,215538]";"[2622,5627,5627,5627,5627,5627,5627,5627,5627]";"[6461,6029,5809,5781,5747,5733,5677,5628,5627]";2314.00;2977.00
3;250;12450;5981;7068;6;"[252,1925,2521,2797,3041,3060]";"[12454,123329,148825,165245,184709,185291]";"[2898,7068,7068,7068,7068,7068]";"[8105,7489,7302,7160,7128,7068]";1043.00;1439.00
3;250;12450;6902;6050;7;"[252,2110,2413,2813,2836,2935,2939]";"[12455,133197,154253,185662,187135,193665,193932]";"[2511,6050,6050,6050,6050,6050,6050]";"[6714,6188,6124,6080,6070,6070,6050]";1376.00;1886.00
3;250;12450;6791;5846;5;"[252,2330,2914,3114,3370]";"[12455,144192,184514,196629,210600]";"[2404,5788,5846,5846,5846]";"[6738,6280,5941,5876,5846]";947.00;1302.00
3;250;12450;6781;6367;5;"[252,1891,2478,2680,2803]";"[12455,125193,164100,176093,179714]";"[2568,6267,6367,6367,6367]";"[7071,6630,6477,6402,6367]";818.00;1134.00
3;250;12450;7426;6407;6;"[252,1610,2172,2743,3088,3336]";"[12454,99188,135047,166947,187982,204648]";"[3151,6359,6407,6407,6407,6407]";"[7155,6711,6600,6460,6421,6407]";1041.00;1407.00
