kind;n;m;sum_n;AgeLatency;IterationCount;ExpansionVertex;ExpansionEdges;LowerBounds;UpperBounds;gen_time;sp_time
1;50;816;33832;325;4;"[52,18123,21594,25244]";"[819,348546,395426,438395]";"[136,323,325,325]";"[360,336,327,325]";6689.00;2447.00
1;50;816;28938;312;6;"[52,19014,23176,24608,25111,25950]";"[820,381320,423152,443609,445621,454304]";"[81,310,310,312,312,312]";"[360,339,323,313,312,312]";12845.00;4741.00
1;50;816;28678;314;4;"[52,15823,17054,18060]";"[821,334959,348629,359622]";"[93,314,314,314]";"[354,319,316,314]";4372.00;2067.00
1;50;816;34098;333;4;"[52,22627,25534,28261]";"[819,407830,436488,460772]";"[103,333,333,333]";"[370,347,335,333]";8439.00;2771.00
1;50;816;35141;343;4;"[52,18735,19574,22093]";"[818,376973,393537,405333]";"[121,343,343,343]";"[379,347,346,343]";5512.00;2396.00
1;50;816;46430;246;7;"[52,33279,34432,34851,36110,36949,37788]";"[819,615369,624805,627424,647266,655729,664451]";"[71,246,246,246,246,246,246]";"[281,253,252,250,247,247,246]";31848.00;9052.00
1;50;816;46697;244;7;"[52,24703,27309,28651,30329,32427,33266]";"[819,553631,592044,607916,625977,652572,659662]";"[68,244,244,244,244,244,244]";"[276,257,252,246,244,244,244]";23945.00;8374.00
1;50;816;30240;364;3;"[52,20132,20635]";"[819,443242,447441]";"[100,364,364]";"[416,364,364]";3875.00;1732.00
1;50;816;37649;361;4;"[52,23252,24511,25140]";"[819,457051,475186,481558]";"[102,361,361,361]";"[411,363,362,361]";8100.00;2916.00
1;50;816;43143;293;3;"[52,27783,32820]";"[818,598791,670242]";"[90,293,293]";"[324,299,293]";7845.00;2479.00
1;50;816;38179;350;4;"[52,25174,31890,32729]";"[818,508968,618657,631689]";"[107,350,350,350]";"[392,355,350,350]";11731.00;3746.00
1;100;1980;66038;434;14;"[102,29294,34443,38219,39267,40945,42349,43501,43815,44653,45912,48828,49816,50175]";"[1985,721403,816207,866441,886067,912316,927591,942891,947287,956200,979538,1038357,1051400,1052486]";"[138,432,432,432,432,432,434,434,434,434,434,434,434,434]";"[501,465,454,451,443,443,442,442,441,441,438,436,434,434]";70613.00;29500.00
1;100;1980;75128;383;11;"[102,27501,32477,36928,40228,45054,45727,46230,49378,49881,52400]";"[1984,781077,878304,983079,1048655,1138862,1145897,1152709,1240338,1247919,1284548]";"[82,378,383,383,383,383,383,383,383,383,383]";"[439,413,404,401,395,392,390,389,385,383,383]";59034.00;26673.00
1;100;1980;70903;520;5;"[102,30971,34984,37689,38807]";"[1985,836325,909455,964667,981818]";"[178,520,520,520,520]";"[588,535,525,523,520]";16771.00;8123.00
1;100;1980;83609;471;8;"[102,41460,43842,45040,47917,52955,53817,55749]";"[1982,1127789,1168864,1190071,1251644,1319181,1333981,1375983]";"[120,468,468,471,471,471,471,471]";"[527,497,487,486,478,473,471,471]";52249.00;21034.00
1;100;1980;67101;500;6;"[102,25180,27387,27638,31835,32149]";"[1985,651835,702763,707783,800494,805373]";"[137,500,500,500,500,500]";"[574,527,504,501,500,500]";15232.00;8137.00
1;100;1980;80983;383;8;"[102,26334,38787,39101,42290,43549,43968,46487]";"[1988,729611,1019880,1024276,1098453,1115846,1124517,1191523]";"[131,380,383,383,383,383,383,383]";"[434,410,390,387,386,386,384,383]";35575.00;16677.00
1;100;1980;68195;430;10;"[102,29080,32680,35092,40650,42159,44678,45517,46356,47550]";"[1987,762049,830711,873518,951151,972513,1019414,1033183,1048563,1058991]";"[110,427,427,427,427,427,427,427,427,430]";"[489,463,454,446,444,439,438,435,434,430]";49262.00;20571.00
1;100;1980;65884;453;8;"[102,29749,32615,36537,37795,39579,41676,43773]";"[1986,766832,827153,906836,931158,963300,1000789,1046120]";"[121,453,453,453,453,453,453,453]";"[531,477,467,463,456,456,454,453]";32007.00;15153.00
1;100;1980;78556;419;7;"[102,38209,41751,48863,49282,51044,51883]";"[1984,944238,1014689,1174633,1181565,1210101,1229478]";"[98,418,418,418,418,418,419]";"[481,445,429,421,419,419,419]";39335.00;15846.00
1;100;1980;76123;432;13;"[102,18096,23323,25299,30616,35903,36262,36621,37819,38238,39497,42959,43798]";"[1985,533558,677987,720020,831928,906013,912116,916846,941386,946525,966912,1011912,1034955]";"[98,432,432,432,432,432,432,432,432,432,432,432,432]";"[502,461,448,445,438,437,437,435,433,433,432,432,432]";49518.00;25159.00
1;100;1980;68996;407;9;"[102,26718,31027,34487,36079,36498,36917,37420,37779]";"[1986,701644,778536,841988,866556,872076,876993,887630,916741]";"[138,407,407,407,407,407,407,407,407]";"[472,427,424,418,414,414,412,411,407]";32266.00;15904.00
1;100;1980;71172;451;14;"[102,31479,38052,42960,44638,46176,46535,47038,48297,49136,49387,49666,50025,50339]";"[1984,904557,1003075,1097966,1123125,1144187,1149463,1156573,1173866,1182121,1184380,1186612,1190037,1192926]";"[135,451,451,451,451,451,451,451,451,451,451,451,451,451]";"[522,482,475,468,467,463,461,458,457,455,454,452,452,451]";83478.00;36008.00
1;100;1980;70246;422;8;"[102,26533,37862,40660,41540,42294,44391,46009]";"[1984,738592,1013579,1056556,1069237,1083119,1128655,1156596]";"[133,422,422,422,422,422,422,422]";"[479,441,436,430,427,423,423,422]";37826.00;17117.00
1;100;1980;76821;451;14;"[102,34016,37161,40776,42012,45797,47166,48425,48739,51258,52138,52767,53606,53857]";"[1984,917073,997948,1067394,1089066,1143317,1166301,1197641,1200670,1258140,1264963,1273852,1280839,1283349]";"[115,451,451,451,451,451,451,451,451,451,451,451,451,451]";"[522,485,479,471,467,463,461,459,459,457,455,454,453,451]";89110.00;38135.00
1;100;1980;72005;453;11;"[102,22529,29137,29765,33543,36062,36901,37404,39923,40762,43281]";"[1988,586730,738559,749117,793907,842701,851862,860748,946901,959133,1010078]";"[115,453,453,453,453,453,453,453,453,453,453]";"[514,484,465,460,459,458,457,455,455,453,453]";41178.00;19818.00
1;100;1980;77320;397;10;"[102,28262,39492,41546,42408,44610,45472,47821,48660,51179]";"[1987,731281,958307,991567,1002150,1044198,1054353,1078337,1084507,1115812]";"[121,395,397,397,397,397,397,397,397,397]";"[453,427,413,412,408,408,404,403,398,397]";52931.00;22250.00
1;100;1980;67688;484;7;"[102,24267,33797,37493,38122,38961,39590]";"[1986,653877,837514,903843,917958,933544,945008]";"[110,472,484,484,484,484,484]";"[555,500,493,492,489,488,484]";25393.00;12062.00
1;100;1980;77430;425;10;"[102,29545,37416,39765,42504,47856,48215,48494,51543,54069]";"[1985,827025,1002440,1054920,1106178,1197830,1200792,1204391,1249638,1290032]";"[127,425,425,425,425,425,425,425,425,425]";"[481,459,445,437,437,432,431,429,425,425]";58117.00;24636.00
1;100;1980;69795;482;7;"[102,36212,39370,41194,45726,46565,47697]";"[1985,955176,1005650,1030074,1109829,1122419,1138596]";"[102,473,476,482,482,482,482]";"[550,515,501,492,488,487,482]";36016.00;15252.00
1;100;1980;73244;436;14;"[102,33324,37167,40186,40605,41872,44894,47413,48755,49384,49635,52719,53978,55237]";"[1984,961604,1028251,1091738,1097052,1115751,1148344,1191643,1208641,1218523,1221284,1296824,1328814,1356953]";"[115,436,436,436,436,436,436,436,436,436,436,436,436,436]";"[507,458,448,444,444,441,441,440,439,439,438,437,436,436]";84283.00;38587.00
1;100;1980;70777;436;13;"[102,22418,27873,31209,33307,33666,35204,35623,36882,38503,39006,39845,40623]";"[1985,665984,763078,801846,830911,838126,870162,877698,893490,920540,929830,942722,953898]";"[101,436,436,436,436,436,436,436,436,436,436,436,436]";"[500,458,453,448,444,441,440,440,439,438,437,436,436]";49982.00;24665.00
1;100;1980;70883;474;9;"[102,31381,40949,42311,43429,44268,45107,47626,50145]";"[1985,838903,973710,991475,1006866,1016247,1030190,1064037,1110301]";"[116,474,474,474,474,474,474,474,474]";"[564,506,489,486,479,479,479,475,474]";46757.00;19286.00
1;100;1980;67216;472;5;"[102,23884,29532,30265,30894]";"[1984,670208,779721,792736,807806]";"[121,466,472,472,472]";"[536,477,472,472,472]";11672.00;6678.00
1;100;1980;71004;486;11;"[102,30109,31031,31870,33616,34455,34814,35694,35973,37463,39561]";"[1984,824214,839432,858860,893218,910452,918064,938038,941191,968373,999290]";"[111,486,486,486,486,486,486,486,486,486,486]";"[558,507,501,500,498,498,491,489,487,486,486]";41869.00;21693.00
1;100;1980;77228;421;17;"[102,23146,25307,31288,33050,33889,34877,37755,39293,40551,43349,45698,46957,49476,50735,53503,54762]";"[1984,714712,757176,879961,906322,921092,940261,1007183,1041838,1067011,1115821,1163073,1192376,1240184,1264096,1318331,1333147]";"[105,412,420,421,421,421,421,421,421,421,421,421,421,421,421,421,421]";"[487,446,433,433,432,431,430,429,428,426,426,424,422,422,422,422,421]";90525.00;41003.00
1;100;1980;81525;420;6;"[102,39361,43976,44815,45129,46176]";"[1985,1017901,1086581,1100340,1107436,1125627]";"[127,413,418,418,418,420]";"[471,429,425,422,420,420]";30297.00;12478.00
1;100;1980;71034;444;3;"[102,26663,36305]";"[1983,680221,861828]";"[102,430,444]";"[506,468,444]";6315.00;3040.00
1;100;1980;64669;420;5;"[102,25812,30368,31425,31676]";"[1986,654560,727328,748014,751528]";"[103,404,413,413,420]";"[471,439,424,420,420]";11812.00;6282.00
1;100;1980;77589;407;5;"[102,25214,35060,37577,37856]";"[1984,762123,966880,1016749,1019651]";"[145,407,407,407,407]";"[460,424,411,408,407]";15633.00;8231.00
1;100;1980;76517;479;15;"[102,33649,36385,37307,39383,43306,45142,46064,46903,48246,53284,54437,55276,55635,56894]";"[1986,928542,983768,1003961,1044317,1110703,1140862,1154423,1170911,1189836,1251221,1266120,1279597,1283580,1296133]";"[148,479,479,479,479,479,479,479,479,479,479,479,479,479,479]";"[539,509,500,496,494,492,486,485,485,484,483,482,481,479,479]";95358.00;40776.00
1;100;1980;69882;534;6;"[102,26358,34654,35283,37802,38305]";"[1983,739200,961196,973121,1021073,1028986]";"[120,527,534,534,534,534]";"[592,550,540,534,534,534]";21037.00;10936.00
1;100;1980;73050;453;8;"[102,28240,36576,42475,46971,47833,48336,48839]";"[1984,714128,918233,1038923,1119964,1132680,1139922,1144815]";"[106,453,453,453,453,453,453,453]";"[510,470,463,459,454,453,453,453]";39702.00;17075.00
1;100;1980;64397;483;8;"[102,26919,29424,36917,37756,41743,44262,44960]";"[1987,721993,763559,880249,891499,947325,978899,985901]";"[157,481,483,483,483,483,483,483]";"[548,507,497,489,487,487,486,483]";32213.00;14605.00
1;100;1980;70150;404;12;"[102,28809,35419,36509,37431,38353,39192,39471,39974,40692,40971,41923]";"[1985,818788,954524,975753,989653,1007931,1025631,1030374,1039793,1052938,1056314,1071657]";"[94,401,404,404,404,404,404,404,404,404,404,404]";"[455,425,419,419,417,416,410,406,405,405,404,404]";54265.00;26542.00
1;100;1980;62880;431;7;"[102,20791,24889,32530,34292,35131,35490]";"[1986,628083,733762,912504,933058,944909,948921]";"[104,423,431,431,431,431,431]";"[487,450,443,433,433,432,431]";21190.00;11626.00
1;100;1980;74814;403;9;"[102,24843,29482,31936,32439,35818,36321,37160,37439]";"[1984,700709,812015,861536,873719,949540,957802,975442,980213]";"[99,403,403,403,403,403,403,403,403]";"[454,421,416,410,405,405,404,404,403]";31721.00;16552.00
1;100;1980;73070;454;9;"[102,32209,38423,39914,40836,42034,42348,42977,43228]";"[1987,798806,905454,929004,940549,958251,961077,970814,974328]";"[109,454,454,454,454,454,454,454,454]";"[515,481,465,464,463,460,458,456,454]";40221.00;17914.00
1;100;1980;81556;436;7;"[102,28082,34490,36588,39107,39610,40029]";"[1986,837917,989301,1036337,1105911,1115662,1123478]";"[151,436,436,436,436,436,436]";"[483,445,440,439,437,436,436]";27643.00;14035.00
1;100;1980;69997;438;9;"[102,32942,39011,40583,41086,42667,45815,46174,46488]";"[1984,949405,1060695,1099578,1105443,1128437,1152587,1156410,1160150]";"[150,438,438,438,438,438,438,438,438]";"[504,467,448,448,444,441,440,438,438]";44862.00;21584.00
1;100;1980;72754;462;7;"[102,27320,29417,30256,31558,33489,36008]";"[1983,760979,809869,821852,843223,876608,907740]";"[112,462,462,462,462,462,462]";"[525,478,468,467,466,463,462]";21397.00;11437.00
1;100;1980;77496;456;6;"[102,37635,47706,51532,54553,55811]";"[1985,1048994,1185830,1223981,1269972,1291774]";"[153,450,452,452,456,456]";"[528,477,471,466,463,456]";37105.00;13586.00
1;100;1980;79275;410;15;"[102,28276,36141,44057,46448,49745,50248,53270,55158,58136,58415,60093,60722,61141,62400]";"[1983,745082,856247,1040302,1084631,1137369,1146090,1199297,1235822,1286478,1288738,1311127,1321227,1326398,1357190]";"[118,410,410,410,410,410,410,410,410,410,410,410,410,410,410]";"[480,445,441,433,424,420,420,420,419,415,415,414,412,410,410]";107739.00;41567.00
1;100;1980;77727;418;13;"[102,32332,35099,39925,40909,42167,45032,47910,48548,49806,50165,51424,54782]";"[1983,700065,757441,877042,896180,926344,969618,996913,1003872,1024466,1028135,1053028,1158353]";"[119,416,416,416,416,416,416,416,416,416,416,416,418]";"[487,444,437,435,431,429,425,425,425,422,421,419,418]";72392.00;27923.00
1;100;1980;84532;489;7;"[102,36869,44957,46215,49782,53140,53769]";"[1982,1086840,1215750,1238728,1280082,1308412,1313237]";"[116,479,489,489,489,489,489]";"[556,511,503,493,489,489,489]";42037.00;17562.00
1;100;1980;86784;433;6;"[102,48060,53092,59492,62325,64423]";"[1983,1159325,1270149,1383197,1436571,1470172]";"[117,421,421,433,433,433]";"[489,457,443,439,434,433]";47487.00;15918.00
1;100;1980;70433;468;10;"[102,29312,33796,35418,35837,40285,40704,41063,44085,44364]";"[1987,753221,870042,898076,906279,1007624,1013358,1018867,1098107,1100060]";"[130,467,467,467,467,468,468,468,468,468]";"[537,494,480,478,474,472,471,470,469,468]";43980.00;20580.00
1;100;1980;81556;414;6;"[102,30782,33509,42263,46040,50516]";"[1984,837474,896967,1137556,1220838,1307884]";"[113,414,414,414,414,414]";"[467,428,422,422,416,414]";28114.00;12164.00
1;100;1980;61418;486;6;"[102,23530,25670,27557,28186,28545]";"[1987,641350,683901,707071,724406,731945]";"[135,486,486,486,486,486]";"[546,508,500,496,490,486]";13436.00;7812.00
