kind;n;m;sum_n;AgeLatency;IterationCount;ExpansionVertex;ExpansionEdges;LowerBounds;UpperBounds;gen_time;sp_time
2;250;15562;1159;3696;7;"[252,622,655,673,691,710,738]";"[15568,44817,47014,48086,49038,49963,51449]";"[2251,3696,3696,3696,3696,3696,3696]";"[4026,3774,3726,3714,3714,3714,3696]";299.00;465.00
2;250;15562;8356;36251;12;"[252,3839,4704,5100,5241,5275,5405,5547,5904,6142,6153,6164]";"[15565,282447,331027,362948,371131,373218,379561,391011,419780,435611,436169,436773]";"[19927,36251,36251,36251,36251,36251,36251,36251,36251,36251,36251,36251]";"[42186,40061,38591,37106,36676,36556,36511,36471,36461,36401,36301,36251]";7315.00;8474.00
2;250;15562;21092;105378;6;"[252,8842,11007,12203,13159,13218]";"[15567,610570,719036,781803,843292,847652]";"[44554,105378,105378,105378,105378,105378]";"[114853,109128,106498,105508,105403,105378]";7683.00;7592.00
2;250;15562;4726;5686;8;"[252,2130,2521,2619,2810,2845,2862,2879]";"[15566,160013,186460,192398,205557,206980,208267,209529]";"[2626,5686,5686,5686,5686,5686,5686,5686]";"[6550,6056,5862,5797,5742,5718,5694,5686]";1942.00;2549.00
2;250;15562;16984;36485;10;"[252,5706,7677,8919,9489,10125,10401,10416,10479,10494]";"[15566,455104,619926,679494,715578,754704,766569,767253,770451,771177]";"[20112,36485,36485,36485,36485,36485,36485,36485,36485,36485]";"[39403,38003,37439,37125,36975,36771,36549,36525,36517,36485]";12098.00;12778.00
2;250;15562;22066;105589;10;"[252,7517,9835,11386,12607,13144,13860,14290,14325,14467]";"[15566,575796,722985,835764,911121,948655,987944,1011987,1013577,1019599]";"[60210,105589,105589,105589,105589,105589,105589,105589,105589,105589]";"[118954,113709,109919,108134,107354,106694,106399,106309,105964,105589]";17443.00;16968.00
2;250;15562;1662;5485;8;"[252,873,1016,1074,1090,1091,1102,1107]";"[15565,66747,76801,80447,81173,81227,81797,82068]";"[2558,5485,5485,5485,5485,5485,5485,5485]";"[6065,5675,5600,5535,5515,5505,5495,5485]";666.00;965.00
2;250;15562;5229;38878;4;"[252,2196,2807,3030]";"[15566,168406,207785,217475]";"[19456,38878,38878,38878]";"[42463,40384,39148,38878]";793.00;1065.00
2;250;15562;2706;18528;5;"[252,1248,1517,1547,1593]";"[15566,99877,118337,120425,123846]";"[9702,18528,18528,18528,18528]";"[20730,19194,18696,18552,18528]";567.00;821.00
2;250;15562;9638;24107;6;"[252,4631,6289,6417,6557,6646]";"[15565,356400,436646,444227,448213,450095]";"[13560,24106,24107,24107,24107,24107]";"[25864,25268,24500,24260,24167,24107]";3690.00;4175.00
